Freq	Burst	Degree	Centrality	Sigma	PageRank	Keyword	Author	Year	Title	Source	Vol	Page	Half-life	DOI	ClusterID
1		9	0.00	1.00	0.00		Esmaeilzadeh H	2011	<html><b>...</b></html>	ISCA 2011: PROCEEDINGS OF THE 38TH ANNUAL INTERNATIONAL SYMPOSIUM ON COMPUTER ARCHITECTURE	0	365	4.5	10.1145/2024723.2000108	
1		2	0.00	1.00	0.00		Wilson R	2014	<html><b>...</b></html>	ISSCC DIG TECH PAP I	57	452	1.5	10.1109/ISSCC.2014.6757509	
1		1	0.00	1.00	0.00		Makosiej A	2012	<html><b>...</b></html>	IEEE INT SYMP CIRC S	0	2517	3.5	10.1109/ISCAS.2012.6271814	
1		2	0.00	1.00	0.00		Elkholy A	2014	<html><b>...</b></html>	ISSCC DIG TECH PAP I	57	272	1.5	10.1109/ISSCC.2014.6757431	
1		0	0.00	1.00	0.00		Li P S	2016	<html><b>...</b></html>	TECH REP	0	0	-0.5		
1		12	0.01	1.00	0.00		Alioto M	2014	<html><b>...</b></html>	IEEE T VLSI SYST	22	2499	1.5	10.1109/TVLSI.2013.2293153	
1		9	0.00	1.00	0.00		Jianchao Lu	2011	<html><b>...</b></html>	2011 IEEE International Conference on Microelectronic Systems Education (MSE)	0	72	4.5	10.1109/MSE.2011.5937096	
1		9	0.00	1.00	0.00		Hsieh M-Y	2011	<html><b>...</b></html>	International Green Computing Conference and Workshops	0	1	4.5	10.1109/IGCC.2011.6008574]	
1		1	0.00	1.00	0.00		[Anonymous]	2015	<html><b>...</b></html>	BERKELEY HARDWARE FL	0	0	0.5		
1		9	0.00	1.00	0.00		Planes N	2012	<html><b>...</b></html>	2012 IEEE Symposium on VLSI Technology	0	133	2.5	10.1109/VLSIT.2012.6242497	
1		0	0.00	1.00	0.00		Ecker W	2016	<html><b>...</b></html>	P VLSI SOC IN PRESS	0	0	-0.5		
1		0	0.00	1.00	0.00		Nagarakatte S	2012	<html><b>...</b></html>	CONF PROC INT SYMP C	0	189	3.5	10.1109/ISCA.2012.6237017	
1		28	0.00	1.00	0.00		Asanovic Krste	2015	<html><b>...</b></html>	BERKELEY OUT OF ORDE	0	0	0.5		
1		9	0.00	1.00	0.00		Khalid O	2013	<html><b>...</b></html>	2013 IEEE INTERNATIONAL SYMPOSIUM ON HARDWARE-ORIENTED SECURITY AND TRUST (HOST)	0	75	2.5	10.1109/HST.2013.6581569	
1		1	0.00	1.00	0.00		Lee Y	2015	<html><b>...</b></html>	Tech. Rep. UCB/EECS-2015-263	0	0	0.5		
1		4	0.00	1.00	0.00		Zandrahimi M	2010	<html><b>...</b></html>	2010 2nd Asia Symposium on Quality Electronic Design (ASQED 2010)	0	308	4.5	10.1109/ASQED.2010.5548320	
1		8	0.00	1.00	0.00		Shacham O	2010	<html><b>...</b></html>	IEEE MICRO	30	9	4.5	10.1109/MM.2010.81	
1		8	0.00	1.00	0.00		Sutardja S	2015	<html><b>...</b></html>	2015 IEEE INT SOL ST	0	0	-0.5		
1		1	0.00	1.00	0.00		Lee Yunsup	2015	<html><b>...</b></html>	RAVEN 28NM RISC V VE	0	0	0.5		
1		1	0.00	1.00	0.00		Kim ST	2015	<html><b>...</b></html>	2015 IEEE International Solid-State Circuits Conference - (ISSCC) Digest of Technical Papers	0	0	0.5		
1		1	0.00	1.00	0.00		Lim W	2015	<html><b>...</b></html>	2015 IEEE International Solid-State Circuits Conference - (ISSCC) Digest of Technical Papers	0	1	0.5	10.1109/ISSCC.2015.7062968]	
1		0	0.00	1.00	0.00		Planes N	2012	<html><b>...</b></html>	VLSIT	0	133	3.5	10.1109/VLSIT.2012.6242497]	
1		9	0.00	1.00	0.00		Fletcher CW	2015	<html><b>...</b></html>	ACM SIGPLAN NOTICES	50	103	0.5		
1		1	0.00	1.00	0.00		[Anonymous]	2015	<html><b>...</b></html>	REFERENCE MANUAL ARM	0	0	0.5		
1		1	0.00	1.00	0.00		Makosiej A	2013	<html><b>...</b></html>	IEEE INT SYMP CIRC S	0	1460	2.5	10.1109/ISCAS.2013.6572132	
1		9	0.00	1.00	0.00		Raman A	2012	<html><b>...</b></html>	ACM SIGPLAN NOTICES	47	133	3.5		
1		0	0.00	1.00	0.00		Robert Hum V P	2016	<html><b>...</b></html>	PERSONAL DISCUSSION	0	0	-0.5		
1		1	0.00	1.00	0.00		[Anonymous]	2013	<html><b>...</b></html>	7 WORKSH INT OP SYST	0	0	2.5		
1		5	0.00	1.00	0.00		An YJ	2015	<html><b>...</b></html>	IEEE T VLSI SYST	23	1508	0.5	10.1109/TVLSI.2014.2344112	
1		9	0.00	1.00	0.00		McKeown M	2014	<html><b>...</b></html>	INT SYMP MICROARCH	0	432	1.5	10.1109/MICRO.2014.43	
1		3	0.00	1.00	0.00		Tierno J	2010	<html><b>...</b></html>	SYMP VLSI CIRCUITS	0	85	4.5	10.1109/VLSIC.2010.5560342	
1		4	0.00	1.00	0.00		Tanaka Y	2013	<html><b>...</b></html>	SIGARCH COMPUT ARCHI	41	95	1.5		
1		6	0.00	1.00	0.00		Asanovic K	2016	<html><b>...</b></html>	The Rocket Chip Generator	0	0	-0.5		
1		1	0.00	1.00	0.00		Vladimirescu A	2015	<html><b>...</b></html>	2015 6TH IEEE INTERNATIONAL WORKSHOP ON ADVANCES IN SENSORS AND INTERFACES (IWASI)	0	266	0.5	10.1109/IWASI.2015.7184974	
1		9	0.00	1.00	0.00		Fu YS	2015	<html><b>...</b></html>	PROCEEDINGS OF THE 48TH ANNUAL IEEE/ACM INTERNATIONAL SYMPOSIUM ON MICROARCHITECTURE (MICRO-48)	0	686	0.5	10.1145/2830772.2830832	
1		0	0.00	1.00	0.00		Toprak-Deniz Z	2014	<html><b>...</b></html>	ISSCC DIG TECH PAP I	57	98	1.5	10.1109/ISSCC.2014.6757354	
1		1	0.00	1.00	0.00		Ratkovic I	2015	<html><b>...</b></html>	ADV COMPUTERS	0	0	0.5		
1		28	0.00	1.00	0.00		Campanoni S	2012	<html><b>...</b></html>	Proc. International Symposium on Code Generation and Optimization	0	84	3.5	10.1145/2259016]	
1		28	0.00	1.00	0.00		Bilzor M	2012	<html><b>...</b></html>	Proceedings 2012 IEEE International Symposium on Hardware-Oriented Security and Trust (HOST 2012)	0	49	3.5	10.1109/HST.2012.6224318	
1		28	0.00	1.00	0.00		Binkert Nathan	2011	<html><b>...</b></html>	Computer Architecture News	39	1	4.5	10.1145/2024716.2024718	
1		9	0.00	1.00	0.00		Tandon James	2011	<html><b>...</b></html>	LINUX J	0	6	4.5		
1		9	0.00	1.00	0.00		Horowitz M	2014	<html><b>...</b></html>	ISSCC DIG TECH PAP I	57	10	0.5	10.1109/ISSCC.2014.6757323	
1		4	0.00	1.00	0.00		Clerc S	2015	<html><b>...</b></html>	ISSCC DIG TECH PAP I	58	150	-0.5		
1		1	0.00	1.00	0.00		Kurd N	2015	<html><b>...</b></html>	IEEE J SOLID-ST CIRC	50	49	0.5		
1		9	0.00	1.00	0.00		Jevtic R	2015	<html><b>...</b></html>	IEEE T VLSI SYST	23	723	-0.5	10.1109/TVLSI.2014.2316919	
1		1	0.00	1.00	0.00		Nikolic B	2015	<html><b>...</b></html>	ESSCIRC	0	0	0.5		
1		1	0.00	1.00	0.00		Ranica R	2013	<html><b>...</b></html>	2013 Symp. VLSI Technology (VLSIT)	0	T210	2.5	10.1109/IEDM.2004.1419245	
1		9	0.00	1.00	0.00		Szefer JM	2011	<html><b>...</b></html>	P IEEE RAP SYST PROT	0	38	4.5	10.1109/RSP.2011.5929973	
1		28	0.00	1.00	0.00		Barthe L	2011	<html><b>...</b></html>	2011 IEEE International Symposium on Parallel & Distributed Processing	0	310	4.5	10.1109/IPDPS.2011.154	
1		2	0.00	1.00	0.00		Ho YC	2013	<html><b>...</b></html>	IEEE J SOLID-ST CIRC	48	2805	2.5	10.1109/JSSC.2013.2280409	
1		9	0.00	1.00	0.00		Jia R	2014	<html><b>...</b></html>	[No title captured]	0	1	1.5		
1		1	0.00	1.00	0.00		Myers J	2015	<html><b>...</b></html>	IEEE J SOLID-ST CIRC	PP	1	0.5		
1		1	0.00	1.00	0.00		Yang XB	2011	<html><b>...</b></html>	DES AUT TEST EUROPE	0	740	4.5		
1		9	0.00	1.00	0.00		Fu YS	2014	<html><b>...</b></html>	INT SYM PERFORM ANAL	0	116	1.5	10.1109/ISPASS.2014.6844467	
1		1	0.00	1.00	0.00		Gandhi R	2011	<html><b>...</b></html>	IEEE ELECTR DEVICE L	32	437	4.5	10.1109/LED.2011.2106757	
1		1	0.00	1.00	0.00		Ratkovic I	2015	<html><b>...</b></html>	ISVLSI	0	0	0.5		
1		28	0.00	1.00	0.00		Carlson TrevorE	2011	<html><b>...</b></html>	Proceedings of 2011 International Conference for High Performance Computing	0	0	4.5		
1		5	0.00	1.00	0.00		Chen YW	2014	<html><b>...</b></html>	IEEE INT SYMP CIRC S	0	1134	1.5	10.1109/ISCAS.2014.6865340	
1		0	0.00	1.00	0.00		Turnquist Matthew	2015	<html><b>...</b></html>	2015 Symposium on VLSI Circuits (VLSI Circuits)	0	C320	0.5	10.1109/VLSIC.2015.7231307	
1		1	0.00	1.00	0.00		Lee Y	2011	<html><b>...</b></html>	ISCA	0	0	4.5		
1		8	0.00	1.00	0.00		Zimmer B	2015	<html><b>...</b></html>	SYMP VLSI CIRCUITS	0	0	-0.5		
1		9	0.00	1.00	0.00		Rutenhar R	2015	<html><b>...</b></html>	IEEE INT S PHYS DES	0	0	-0.5		
